"","Site","Buffer_m","Year","Class","Pixels"
"87","IAAME",10000,2012,"Rye",11
"88","IAAME",10000,2012,"Oats",467
"89","IAAME",10000,2012,"Alfalfa",2260
"90","IAAME",10000,2012,"Other Hay/Non Alfalfa",830
"91","IAAME",10000,2012,"Other Crops",3
"92","IAAME",10000,2012,"Fallow/Idle Cropland",12
"93","IAAME",10000,2012,"Shrubland",2
"94","IAAME",10000,2012,"Barren",329
"95","IAAME",10000,2012,"Open Water",699
"96","IAAME",10000,2012,"Developed/Open Space",29194
"97","IAAME",10000,2012,"Developed/Low Intensity",9229
"98","IAAME",10000,2012,"Developed/Med Intensity",3338
"99","IAAME",10000,2012,"Developed/High Intensity",969
"100","IAAME",10000,2012,"Deciduous Forest",20196
"101","IAAME",10000,2012,"Grassland/Pasture",30958
"102","IAAME",10000,2012,"Woody Wetlands",369
"103","IAAME",10000,2012,"Herbaceous Wetlands",863
"104","IAAME",10000,2013,"Background",157541
"105","IAAME",10000,2013,"Sorghum",94900
"106","IAAME",10000,2013,"Tobacco",15
"107","IAAME",10000,2013,"Spring Wheat",8
"108","IAAME",10000,2013,"Dbl Crop WinWht/Soybeans",10
"109","IAAME",10000,2013,"Rye",164
"110","IAAME",10000,2013,"Mustard",2765
"111","IAAME",10000,2013,"Alfalfa",1423
"112","IAAME",10000,2013,"Potatoes",15
"113","IAAME",10000,2013,"Herbs",2
"114","IAAME",10000,2013,"Clover/Wildflowers",1
"115","IAAME",10000,2013,"Sod/Grass Seed",1
"116","IAAME",10000,2013,"Switchgrass",8
"117","IAAME",10000,2013,"Shrubland",252
"118","IAAME",10000,2013,"Aquaculture",521
"119","IAAME",10000,2013,"Perennial Ice/Snow",28800
"120","IAAME",10000,2013,"Developed/Open Space",9567
"121","IAAME",10000,2013,"Developed/Low Intensity",3325
"122","IAAME",10000,2013,"Developed/Med Intensity",1041
"123","IAAME",10000,2013,"Developed/High Intensity",19934
"124","IAAME",10000,2013,"Mixed Forest",28144
"125","IAAME",10000,2013,"Grassland/Pasture",283
"126","IAAME",10000,2013,"Woody Wetlands",321
"127","IAAME",10000,2014,"Background",152174
"128","IAAME",10000,2014,"Sorghum",100882
"129","IAAME",10000,2014,"Tobacco",66
"130","IAAME",10000,2014,"Spring Wheat",7
"131","IAAME",10000,2014,"Dbl Crop WinWht/Soybeans",1
"132","IAAME",10000,2014,"Rye",454
"133","IAAME",10000,2014,"Mustard",2428
"134","IAAME",10000,2014,"Alfalfa",1335
"135","IAAME",10000,2014,"Potatoes",9
"136","IAAME",10000,2014,"Herbs",18
"137","IAAME",10000,2014,"Clover/Wildflowers",1
"138","IAAME",10000,2014,"Switchgrass",50
"139","IAAME",10000,2014,"Forest",12
"140","IAAME",10000,2014,"Shrubland",49
"141","IAAME",10000,2014,"Aquaculture",423
"142","IAAME",10000,2014,"Perennial Ice/Snow",27726
"143","IAAME",10000,2014,"Developed/Open Space",10486
"144","IAAME",10000,2014,"Developed/Low Intensity",4636
"145","IAAME",10000,2014,"Developed/Med Intensity",1259
"146","IAAME",10000,2014,"Developed/High Intensity",20460
"147","IAAME",10000,2014,"Deciduous Forest",45
"148","IAAME",10000,2014,"Evergreen Forest",1
"149","IAAME",10000,2014,"Mixed Forest",26154
"150","IAAME",10000,2014,"Grassland/Pasture",189
"151","IAAME",10000,2014,"Woody Wetlands",176
"152","IAAME",10000,2015,"Background",145392
"153","IAAME",10000,2015,"Rice",2
"154","IAAME",10000,2015,"Sorghum",108770
"155","IAAME",10000,2015,"Tobacco",34
"156","IAAME",10000,2015,"Spring Wheat",44
"157","IAAME",10000,2015,"Dbl Crop WinWht/Soybeans",7
"158","IAAME",10000,2015,"Rye",261
"159","IAAME",10000,2015,"Mustard",2433
"160","IAAME",10000,2015,"Alfalfa",208
"161","IAAME",10000,2015,"Camelina",2
"162","IAAME",10000,2015,"Clover/Wildflowers",208
"163","IAAME",10000,2015,"Sod/Grass Seed",1
"164","IAAME",10000,2015,"Switchgrass",151
"165","IAAME",10000,2015,"Shrubland",212
"166","IAAME",10000,2015,"Aquaculture",625
"167","IAAME",10000,2015,"Perennial Ice/Snow",27769
"168","IAAME",10000,2015,"Developed/Open Space",10309
"169","IAAME",10000,2015,"Developed/Low Intensity",4769
"170","IAAME",10000,2015,"Developed/Med Intensity",1165
"171","IAAME",10000,2015,"Developed/High Intensity",20754
"172","IAAME",10000,2015,"Deciduous Forest",3
"173","IAAME",10000,2015,"Mixed Forest",24870
"174","IAAME",10000,2015,"Grassland/Pasture",449
"175","IAAME",10000,2015,"Woody Wetlands",591
"176","IAAME",10000,2015,"Lettuce",12
"177","IAAME",10000,2016,"Corn",160877
"178","IAAME",10000,2016,"Sorghum",5
"179","IAAME",10000,2016,"Soybeans",92411
"180","IAAME",10000,2016,"Sweet Corn",283
"181","IAAME",10000,2016,"Pop or Orn Corn",5
"182","IAAME",10000,2016,"Winter Wheat",1
"183","IAAME",10000,2016,"Rye",33
"184","IAAME",10000,2016,"Oats",274
"185","IAAME",10000,2016,"Alfalfa",3204
"186","IAAME",10000,2016,"Other Hay/Non Alfalfa",252
"187","IAAME",10000,2016,"Sod/Grass Seed",19
"188","IAAME",10000,2016,"Fallow/Idle Cropland",156
"189","IAAME",10000,2016,"Shrubland",4
"190","IAAME",10000,2016,"Barren",94
"191","IAAME",10000,2016,"Open Water",389
"192","IAAME",10000,2016,"Developed/Open Space",28176
"193","IAAME",10000,2016,"Developed/Low Intensity",10102
"194","IAAME",10000,2016,"Developed/Med Intensity",4621
"195","IAAME",10000,2016,"Developed/High Intensity",1251
"196","IAAME",10000,2016,"Deciduous Forest",21211
"197","IAAME",10000,2016,"Grassland/Pasture",25030
"198","IAAME",10000,2016,"Woody Wetlands",275
"199","IAAME",10000,2016,"Herbaceous Wetlands",368
"200","IAAME",10000,2017,"Corn",143538
"201","IAAME",10000,2017,"Soybeans",111448
"202","IAAME",10000,2017,"Rye",31
"203","IAAME",10000,2017,"Oats",169
"204","IAAME",10000,2017,"Alfalfa",1872
"205","IAAME",10000,2017,"Other Hay/Non Alfalfa",768
"206","IAAME",10000,2017,"Sod/Grass Seed",16
"207","IAAME",10000,2017,"Fallow/Idle Cropland",2
"208","IAAME",10000,2017,"Shrubland",3
"209","IAAME",10000,2017,"Barren",139
"210","IAAME",10000,2017,"Open Water",453
"211","IAAME",10000,2017,"Developed/Open Space",27822
"212","IAAME",10000,2017,"Developed/Low Intensity",10354
"213","IAAME",10000,2017,"Developed/Med Intensity",4475
"214","IAAME",10000,2017,"Developed/High Intensity",1299
"215","IAAME",10000,2017,"Deciduous Forest",20887
"216","IAAME",10000,2017,"Evergreen Forest",13
"217","IAAME",10000,2017,"Mixed Forest",7
"218","IAAME",10000,2017,"Grassland/Pasture",24666
"219","IAAME",10000,2017,"Woody Wetlands",435
"220","IAAME",10000,2017,"Herbaceous Wetlands",644
"221","IAAME",1000,2008,"Corn",1640
"222","IAAME",1000,2008,"Soybeans",572
"223","IAAME",1000,2008,"Oats",4
"224","IAAME",1000,2008,"Alfalfa",37
"225","IAAME",1000,2008,"Other Hay/Non Alfalfa",11
"226","IAAME",1000,2008,"Herbs",1
"227","IAAME",1000,2008,"Sod/Grass Seed",11
"228","IAAME",1000,2008,"Fallow/Idle Cropland",1
"229","IAAME",1000,2008,"Open Water",1
"230","IAAME",1000,2008,"Developed/Open Space",340
"231","IAAME",1000,2008,"Developed/Low Intensity",128
"232","IAAME",1000,2008,"Developed/Med Intensity",73
"233","IAAME",1000,2008,"Developed/High Intensity",11
"234","IAAME",1000,2008,"Grassland/Pasture",662
"235","IAAME",1000,2009,"Corn",1083
"236","IAAME",1000,2009,"Soybeans",1237
"237","IAAME",1000,2009,"Barley",1
"238","IAAME",1000,2009,"Oats",29
"239","IAAME",1000,2009,"Fallow/Idle Cropland",1
"240","IAAME",1000,2009,"Open Water",2
"241","IAAME",1000,2009,"Developed/Open Space",334
"242","IAAME",1000,2009,"Developed/Low Intensity",144
"243","IAAME",1000,2009,"Developed/Med Intensity",71
"244","IAAME",1000,2009,"Developed/High Intensity",12
"245","IAAME",1000,2009,"Barren",10
"246","IAAME",1000,2009,"Deciduous Forest",6
"247","IAAME",1000,2009,"Grassland/Pasture",562
"248","IAAME",1000,2010,"Corn",1635
"249","IAAME",1000,2010,"Soybeans",735
"250","IAAME",1000,2010,"Oats",4
"251","IAAME",1000,2010,"Alfalfa",7
"252","IAAME",1000,2010,"Other Hay/Non Alfalfa",7
"253","IAAME",1000,2010,"Sod/Grass Seed",1
"254","IAAME",1000,2010,"Fallow/Idle Cropland",1
"255","IAAME",1000,2010,"Barren",17
"256","IAAME",1000,2010,"Developed/Open Space",308
"257","IAAME",1000,2010,"Developed/Low Intensity",140
"258","IAAME",1000,2010,"Developed/Med Intensity",59
"259","IAAME",1000,2010,"Developed/High Intensity",12
"260","IAAME",1000,2010,"Deciduous Forest",2
"261","IAAME",1000,2010,"Grassland/Pasture",564
"262","IAAME",1000,2011,"Corn",1281
"263","IAAME",1000,2011,"Soybeans",1128
"264","IAAME",1000,2011,"Oats",40
"265","IAAME",1000,2011,"Alfalfa",6
"266","IAAME",1000,2011,"Other Hay/Non Alfalfa",1
"267","IAAME",1000,2011,"Barren",34
"268","IAAME",1000,2011,"Open Water",2
"269","IAAME",1000,2011,"Developed/Open Space",368
"270","IAAME",1000,2011,"Developed/Low Intensity",118
"271","IAAME",1000,2011,"Developed/Med Intensity",52
"272","IAAME",1000,2011,"Developed/High Intensity",6
"273","IAAME",1000,2011,"Grassland/Pasture",436
"274","IAAME",1000,2011,"Herbaceous Wetlands",20
"275","IAAME",1000,2012,"Corn",1672
"276","IAAME",1000,2012,"Soybeans",591
"277","IAAME",1000,2012,"Oats",35
"278","IAAME",1000,2012,"Alfalfa",18
"279","IAAME",1000,2012,"Other Hay/Non Alfalfa",2
"280","IAAME",1000,2012,"Barren",30
"281","IAAME",1000,2012,"Open Water",3
"282","IAAME",1000,2012,"Developed/Open Space",370
"283","IAAME",1000,2012,"Developed/Low Intensity",112
"284","IAAME",1000,2012,"Developed/Med Intensity",57
"285","IAAME",1000,2012,"Developed/High Intensity",12
"286","IAAME",1000,2012,"Deciduous Forest",1
"287","IAAME",1000,2012,"Grassland/Pasture",564
"288","IAAME",1000,2012,"Herbaceous Wetlands",25
"289","IAAME",1000,2013,"Background",1792
"290","IAAME",1000,2013,"Sorghum",612
"291","IAAME",1000,2013,"Rye",20
"292","IAAME",1000,2013,"Alfalfa",3
"293","IAAME",1000,2013,"Shrubland",31
"294","IAAME",1000,2013,"Aquaculture",1
"295","IAAME",1000,2013,"Perennial Ice/Snow",351
"296","IAAME",1000,2013,"Developed/Open Space",124
"297","IAAME",1000,2013,"Developed/Low Intensity",62
"298","IAAME",1000,2013,"Developed/Med Intensity",11
"299","IAAME",1000,2013,"Mixed Forest",482
"300","IAAME",1000,2013,"Woody Wetlands",3
"301","IAAME",1000,2014,"Background",1382
"302","IAAME",1000,2014,"Sorghum",1016
"303","IAAME",1000,2014,"Rye",90
"304","IAAME",1000,2014,"Mustard",27
"305","IAAME",1000,2014,"Alfalfa",1
"306","IAAME",1000,2014,"Shrubland",2
"307","IAAME",1000,2014,"Aquaculture",2
"308","IAAME",1000,2014,"Perennial Ice/Snow",372
"309","IAAME",1000,2014,"Developed/Open Space",124
"310","IAAME",1000,2014,"Developed/Low Intensity",98
"311","IAAME",1000,2014,"Developed/Med Intensity",20
"312","IAAME",1000,2014,"Mixed Forest",357
"313","IAAME",1000,2014,"Woody Wetlands",1
"314","IAAME",1000,2015,"Background",1510
"315","IAAME",1000,2015,"Sorghum",911
"316","IAAME",1000,2015,"Rye",44
"317","IAAME",1000,2015,"Mustard",30
"318","IAAME",1000,2015,"Alfalfa",1
"319","IAAME",1000,2015,"Clover/Wildflowers",13
"320","IAAME",1000,2015,"Switchgrass",3
"321","IAAME",1000,2015,"Shrubland",6
"322","IAAME",1000,2015,"Aquaculture",6
"323","IAAME",1000,2015,"Perennial Ice/Snow",370
"324","IAAME",1000,2015,"Developed/Open Space",130
"325","IAAME",1000,2015,"Developed/Low Intensity",94
"326","IAAME",1000,2015,"Developed/Med Intensity",20
"327","IAAME",1000,2015,"Mixed Forest",352
"328","IAAME",1000,2015,"Woody Wetlands",2
"329","IAAME",1000,2016,"Corn",1715
"330","IAAME",1000,2016,"Soybeans",649
"331","IAAME",1000,2016,"Oats",71
"332","IAAME",1000,2016,"Alfalfa",82
"333","IAAME",1000,2016,"Other Hay/Non Alfalfa",1
"334","IAAME",1000,2016,"Fallow/Idle Cropland",1
"335","IAAME",1000,2016,"Barren",3
"336","IAAME",1000,2016,"Developed/Open Space",375
"337","IAAME",1000,2016,"Developed/Low Intensity",127
"338","IAAME",1000,2016,"Developed/Med Intensity",97
"339","IAAME",1000,2016,"Developed/High Intensity",19
"340","IAAME",1000,2016,"Grassland/Pasture",352
"341","IAAME",1000,2017,"Corn",1036
"342","IAAME",1000,2017,"Soybeans",1449
"343","IAAME",1000,2017,"Alfalfa",25
"344","IAAME",1000,2017,"Other Hay/Non Alfalfa",6
"345","IAAME",1000,2017,"Barren",4
"346","IAAME",1000,2017,"Developed/Open Space",373
"347","IAAME",1000,2017,"Developed/Low Intensity",130
"348","IAAME",1000,2017,"Developed/Med Intensity",92
"349","IAAME",1000,2017,"Developed/High Intensity",23
"350","IAAME",1000,2017,"Grassland/Pasture",353
"351","IAAME",1000,2017,"Herbaceous Wetlands",1
"352","IAAME",2000,2008,"Corn",7384
"353","IAAME",2000,2008,"Soybeans",3700
"354","IAAME",2000,2008,"Oats",4
"355","IAAME",2000,2008,"Alfalfa",52
"356","IAAME",2000,2008,"Other Hay/Non Alfalfa",18
"357","IAAME",2000,2008,"Herbs",1
"358","IAAME",2000,2008,"Sod/Grass Seed",17
"359","IAAME",2000,2008,"Fallow/Idle Cropland",4
"360","IAAME",2000,2008,"Open Water",5
"361","IAAME",2000,2008,"Developed/Open Space",1168
"362","IAAME",2000,2008,"Developed/Low Intensity",251
"363","IAAME",2000,2008,"Developed/Med Intensity",142
"364","IAAME",2000,2008,"Developed/High Intensity",14
"365","IAAME",2000,2008,"Deciduous Forest",4
"366","IAAME",2000,2008,"Grassland/Pasture",1184
"367","IAAME",2000,2009,"Corn",6324
"368","IAAME",2000,2009,"Soybeans",4754
"369","IAAME",2000,2009,"Barley",1
"370","IAAME",2000,2009,"Oats",29
"371","IAAME",2000,2009,"Fallow/Idle Cropland",1
"372","IAAME",2000,2009,"Open Water",2
"373","IAAME",2000,2009,"Developed/Open Space",1211
"374","IAAME",2000,2009,"Developed/Low Intensity",281
"375","IAAME",2000,2009,"Developed/Med Intensity",126
"376","IAAME",2000,2009,"Developed/High Intensity",12
"377","IAAME",2000,2009,"Barren",11
"378","IAAME",2000,2009,"Deciduous Forest",18
"379","IAAME",2000,2009,"Grassland/Pasture",1178
"380","IAAME",2000,2010,"Corn",7920
"381","IAAME",2000,2010,"Soybeans",3641
"382","IAAME",2000,2010,"Oats",5
"383","IAAME",2000,2010,"Alfalfa",12
"384","IAAME",2000,2010,"Other Hay/Non Alfalfa",14
"385","IAAME",2000,2010,"Sod/Grass Seed",1
"386","IAAME",2000,2010,"Fallow/Idle Cropland",1
"387","IAAME",2000,2010,"Barren",22
"388","IAAME",2000,2010,"Wetlands",2
"389","IAAME",2000,2010,"Open Water",1
"390","IAAME",2000,2010,"Developed/Open Space",973
"391","IAAME",2000,2010,"Developed/Low Intensity",264
"392","IAAME",2000,2010,"Developed/Med Intensity",102
"393","IAAME",2000,2010,"Developed/High Intensity",12
"394","IAAME",2000,2010,"Deciduous Forest",13
"395","IAAME",2000,2010,"Grassland/Pasture",964
"396","IAAME",2000,2010,"Woody Wetlands",1
"397","IAAME",2000,2011,"Corn",5319
"398","IAAME",2000,2011,"Soybeans",6081
"399","IAAME",2000,2011,"Oats",40
"400","IAAME",2000,2011,"Alfalfa",25
"401","IAAME",2000,2011,"Other Hay/Non Alfalfa",8
"402","IAAME",2000,2011,"Barren",38
"403","IAAME",2000,2011,"Open Water",5
"404","IAAME",2000,2011,"Developed/Open Space",1219
"405","IAAME",2000,2011,"Developed/Low Intensity",230
"406","IAAME",2000,2011,"Developed/Med Intensity",113
"407","IAAME",2000,2011,"Developed/High Intensity",6
"408","IAAME",2000,2011,"Deciduous Forest",4
"409","IAAME",2000,2011,"Grassland/Pasture",836
"410","IAAME",2000,2011,"Woody Wetlands",1
"411","IAAME",2000,2011,"Herbaceous Wetlands",23
"412","IAAME",2000,2012,"Corn",8748
"413","IAAME",2000,2012,"Soybeans",2432
"414","IAAME",2000,2012,"Oats",40
"415","IAAME",2000,2012,"Alfalfa",18
"416","IAAME",2000,2012,"Other Hay/Non Alfalfa",2
"417","IAAME",2000,2012,"Fallow/Idle Cropland",3
"418","IAAME",2000,2012,"Barren",32
"419","IAAME",2000,2012,"Open Water",6
"420","IAAME",2000,2012,"Developed/Open Space",1259
"421","IAAME",2000,2012,"Developed/Low Intensity",218
"422","IAAME",2000,2012,"Developed/Med Intensity",107
"423","IAAME",2000,2012,"Developed/High Intensity",12
"424","IAAME",2000,2012,"Deciduous Forest",11
"425","IAAME",2000,2012,"Grassland/Pasture",1011
"426","IAAME",2000,2012,"Herbaceous Wetlands",49
"427","IAAME",2000,2013,"Background",8753
"428","IAAME",2000,2013,"Sorghum",2620
"429","IAAME",2000,2013,"Rye",21
"430","IAAME",2000,2013,"Alfalfa",8
"431","IAAME",2000,2013,"Switchgrass",1
"432","IAAME",2000,2013,"Shrubland",33
"433","IAAME",2000,2013,"Aquaculture",3
"434","IAAME",2000,2013,"Perennial Ice/Snow",1210
"435","IAAME",2000,2013,"Developed/Open Space",243
"436","IAAME",2000,2013,"Developed/Low Intensity",117
"437","IAAME",2000,2013,"Developed/Med Intensity",11
"438","IAAME",2000,2013,"Developed/High Intensity",6
"439","IAAME",2000,2013,"Mixed Forest",917
"440","IAAME",2000,2013,"Woody Wetlands",5
"441","IAAME",2000,2014,"Background",7283
"442","IAAME",2000,2014,"Sorghum",4129
"443","IAAME",2000,2014,"Tobacco",1
"444","IAAME",2000,2014,"Rye",90
"445","IAAME",2000,2014,"Mustard",35
"446","IAAME",2000,2014,"Alfalfa",2
"447","IAAME",2000,2014,"Shrubland",3
"448","IAAME",2000,2014,"Aquaculture",5
"449","IAAME",2000,2014,"Perennial Ice/Snow",1187
"450","IAAME",2000,2014,"Developed/Open Space",251
"451","IAAME",2000,2014,"Developed/Low Intensity",177
"452","IAAME",2000,2014,"Developed/Med Intensity",21
"453","IAAME",2000,2014,"Developed/High Intensity",13
"454","IAAME",2000,2014,"Mixed Forest",749
"455","IAAME",2000,2014,"Woody Wetlands",2
"456","IAAME",2000,2015,"Background",6633
"457","IAAME",2000,2015,"Sorghum",4791
"458","IAAME",2000,2015,"Spring Wheat",13
"459","IAAME",2000,2015,"Rye",50
"460","IAAME",2000,2015,"Mustard",38
"461","IAAME",2000,2015,"Alfalfa",1
"462","IAAME",2000,2015,"Clover/Wildflowers",43
"463","IAAME",2000,2015,"Switchgrass",22
"464","IAAME",2000,2015,"Shrubland",7
"465","IAAME",2000,2015,"Aquaculture",19
"466","IAAME",2000,2015,"Perennial Ice/Snow",1149
"467","IAAME",2000,2015,"Developed/Open Space",261
"468","IAAME",2000,2015,"Developed/Low Intensity",169
"469","IAAME",2000,2015,"Developed/Med Intensity",21
"470","IAAME",2000,2015,"Developed/High Intensity",6
"471","IAAME",2000,2015,"Mixed Forest",718
"472","IAAME",2000,2015,"Grassland/Pasture",3
"473","IAAME",2000,2015,"Woody Wetlands",4
"474","IAAME",2000,2016,"Corn",8506
"475","IAAME",2000,2016,"Soybeans",2879
"476","IAAME",2000,2016,"Sweet Corn",10
"477","IAAME",2000,2016,"Rye",1
"478","IAAME",2000,2016,"Oats",96
"479","IAAME",2000,2016,"Alfalfa",102
"480","IAAME",2000,2016,"Other Hay/Non Alfalfa",2
"481","IAAME",2000,2016,"Fallow/Idle Cropland",3
"482","IAAME",2000,2016,"Barren",4
"483","IAAME",2000,2016,"Open Water",1
"484","IAAME",2000,2016,"Developed/Open Space",1162
"485","IAAME",2000,2016,"Developed/Low Intensity",260
"486","IAAME",2000,2016,"Developed/Med Intensity",169
"487","IAAME",2000,2016,"Developed/High Intensity",19
"488","IAAME",2000,2016,"Deciduous Forest",8
"489","IAAME",2000,2016,"Grassland/Pasture",717
"490","IAAME",2000,2016,"Herbaceous Wetlands",9
"491","IAAME",2000,2017,"Corn",4876
"492","IAAME",2000,2017,"Soybeans",6674
"493","IAAME",2000,2017,"Oats",2
"494","IAAME",2000,2017,"Alfalfa",36
"495","IAAME",2000,2017,"Other Hay/Non Alfalfa",8
"496","IAAME",2000,2017,"Barren",7
"497","IAAME",2000,2017,"Open Water",2
"498","IAAME",2000,2017,"Developed/Open Space",1164
"499","IAAME",2000,2017,"Developed/Low Intensity",270
"500","IAAME",2000,2017,"Developed/Med Intensity",157
"501","IAAME",2000,2017,"Developed/High Intensity",25
"502","IAAME",2000,2017,"Deciduous Forest",8
"503","IAAME",2000,2017,"Grassland/Pasture",707
"504","IAAME",2000,2017,"Woody Wetlands",3
"505","IAAME",2000,2017,"Herbaceous Wetlands",9
"506","IAAME",5000,2008,"Corn",43287
"507","IAAME",5000,2008,"Soybeans",28608
"508","IAAME",5000,2008,"Pop or Orn Corn",1
"509","IAAME",5000,2008,"Oats",14
"510","IAAME",5000,2008,"Alfalfa",435
"511","IAAME",5000,2008,"Other Hay/Non Alfalfa",36
"512","IAAME",5000,2008,"Herbs",1
"513","IAAME",5000,2008,"Sod/Grass Seed",18
"514","IAAME",5000,2008,"Fallow/Idle Cropland",15
"515","IAAME",5000,2008,"Open Water",159
"516","IAAME",5000,2008,"Developed/Open Space",5639
"517","IAAME",5000,2008,"Developed/Low Intensity",1142
"518","IAAME",5000,2008,"Developed/Med Intensity",631
"519","IAAME",5000,2008,"Developed/High Intensity",54
"520","IAAME",5000,2008,"Barren",121
"521","IAAME",5000,2008,"Deciduous Forest",447
"522","IAAME",5000,2008,"Grassland/Pasture",6551
"523","IAAME",5000,2008,"Woody Wetlands",36
"524","IAAME",5000,2008,"Herbaceous Wetlands",46
"525","IAAME",5000,2009,"Corn",39468
"526","IAAME",5000,2009,"Soybeans",31332
"527","IAAME",5000,2009,"Barley",3
"528","IAAME",5000,2009,"Oats",156
"529","IAAME",5000,2009,"Alfalfa",381
"530","IAAME",5000,2009,"Fallow/Idle Cropland",2
"531","IAAME",5000,2009,"Open Water",141
"532","IAAME",5000,2009,"Developed/Open Space",5747
"533","IAAME",5000,2009,"Developed/Low Intensity",1166
"534","IAAME",5000,2009,"Developed/Med Intensity",654
"535","IAAME",5000,2009,"Developed/High Intensity",68
"536","IAAME",5000,2009,"Barren",106
"537","IAAME",5000,2009,"Deciduous Forest",498
"538","IAAME",5000,2009,"Grassland/Pasture",7472
"539","IAAME",5000,2009,"Woody Wetlands",25
"540","IAAME",5000,2009,"Herbaceous Wetlands",22
"541","IAAME",5000,2010,"Corn",43356
"542","IAAME",5000,2010,"Soybeans",28716
"543","IAAME",5000,2010,"Oats",41
"544","IAAME",5000,2010,"Alfalfa",574
"545","IAAME",5000,2010,"Other Hay/Non Alfalfa",50
"546","IAAME",5000,2010,"Sod/Grass Seed",4
